"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"580351CA3E094A46ADDED2146077D463","D07","ORNL","ORNL_002","B2","deciduousForest",35.98120404,-84.21283346,"WGS84",,260.7377987,,"2014-05-28","MAM.ORNL.2014.06","NEON.MAM.D07.0L1100","PELE","Peromyscus leucopus","species",," ","M","N","N",,,"adult","nonscrotal",,,,16,13,,,18,"ORNL.20140528.L1100.B","mandibular","ORNL.20140528.L1100.F","fresh","ORNL.20140528.L1100.E","ORNL.20140528.L1100.H","ORNL.20140528.L1100.H",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,0,1,0,-1,0
"F54428864DA54F88B74BD89071D472F8","D07","ORNL","ORNL_039","E6","pastureHay",35.93481592,-84.24698207,"WGS84",,259.3591388,,"2014-05-28","MAM.ORNL.2014.06",,"PESP","Peromyscus sp.","genus",," ","F","N","N","escaped",,"adult",,,"not",,20,14,,,21,,"unsuccessful",,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","escaped prior to sample collection and tagging",-1,-1,-1,-1,-1
"21CDD0E84E8748E596E3A73351AF10D1","D07","ORNL","ORNL_027","F6","evergreenForest",35.9155705,-84.26479071,"WGS84",,264.7519144,,"2014-05-28","MAM.ORNL.2014.06","NEON.MAM.D07.0L1024","PEMA","Peromyscus maniculatus","species",," ","m","N","N",,,"juvenile","nonscrotal","nonenlarged",,,19,13,55,60,11,"ORNL.20140528.L1024.B","mandibular","ORNL.20140528.L1024.F","fresh","ORNL.20140528.L1024.E","ORNL.20140528.L1024.H","ORNL.20140528.L1024.H",,"vwanwHDJcF+du0zc8hkzNKepTi1KIGtw","XfzAUjzjYcOrIabop+nzAO5msz8zZ0hY",,-1,1,1,-1,0
"09A769513DD84284A93F455F6307CB2C","D07","ORNL","ORNL_002","C2","deciduousForest",35.98120147,-84.21272267,"WGS84",,260.6987966,,"2014-05-29","MAM.ORNL.2014.06","NEON.MAM.D07.0L1100","PELE","Peromyscus leucopus","species",," ","M","N","Y",,,"adult","nonscrotal",,,,20,,,,21,,,"ORNL.20140529.L1100.F","fresh",,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,0,1,0,-1,0
"962311809C874809AB3B53A0B9C50CF8","D07","ORNL","ORNL_039","H4","pastureHay",35.93498841,-84.24664362,"WGS84",,259.2571498,,"2014-05-29","MAM.ORNL.2014.06","NEON.MAM.D07.0R1101","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",30,,,,135,"ORNL.20140529.R1101.B","retroorbital",,,"ORNL.20140529.R1101.E",,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,0,0,0,-1,0
"E2A9E2F5E5834F5AB5A2C5AEF2E66D1C","D07","ORNL","ORNL_039","E6","pastureHay",35.93481592,-84.24698207,"WGS84",,259.3591388,,"2014-05-29","MAM.ORNL.2014.06",,"PESP","Peromyscus sp.","genus",," ","F","N","N","escaped",,"adult",,,"not",,,,,,22,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","escaped before further sampling/measurements could be  performed.",-1,-1,-1,-1,-1
"273B07D5F3B04DA2988DC7EF392D32B6","D07","ORNL","ORNL_027","G5","evergreenForest",35.91565804,-84.2646769,"WGS84",,264.9185395,,"2014-05-29","MAM.ORNL.2014.06","NEON.MAM.D07.0L1002","PESP","Peromyscus sp.","genus",," ","F","N","N",,,"juvenile",,"nonenlarged","not","neither",19,16,58,66,15,"ORNL.20140529.L1002.B","mandibular","ORNL.20140529.L1002.F","fresh","ORNL.20140529.L1002.E","ORNL.20140529.L1002.H","ORNL.20140529.L1002.H",,"vwanwHDJcF+du0zc8hkzNKepTi1KIGtw","XfzAUjzjYcOrIabop+nzAO5msz8zZ0hY",,0,0,0,-1,0
"F7E4A36292044513BFAF462D2578AD1C","D07","ORNL","ORNL_027","G6","evergreenForest",35.91556798,-84.26468,"WGS84",,264.7038494,,"2014-05-29","MAM.ORNL.2014.06","NEON.MAM.D07.0L1003","PESP","Peromyscus sp.","genus",," ","M","N","N",,,"adult","nonscrotal",,,,19,20,68,70,20,"ORNL.20140529.L1003.B","mandibular","ORNL.20140529.L1003.F","fresh","ORNL.20140529.L1003.E","ORNL.20140529.L1003.H","ORNL.20140529.L1003.H",,"vwanwHDJcF+du0zc8hkzNKepTi1KIGtw","XfzAUjzjYcOrIabop+nzAO5msz8zZ0hY",,0,0,0,-1,0
"9CE3C1F9256D4FC288269E3EDAFF6786","D07","ORNL","ORNL_027","D6","evergreenForest",35.91557555,-84.26501213,"WGS84",,264.8457071,,"2014-05-29","MAM.ORNL.2014.06","NEON.MAM.D07.0L1024","PEMA","Peromyscus maniculatus","species",," ","m","N","Y",,,,,,"not",,,,,,,,,,,,,,,"vwanwHDJcF+du0zc8hkzNKepTi1KIGtw","XfzAUjzjYcOrIabop+nzAO5msz8zZ0hY",,-1,1,1,-1,0
"F0FA093E22C24DF3855EAB8286FA9CDB","D07","ORNL","ORNL_002","G2","deciduousForest",35.98119116,-84.21227948,"WGS84",,260.540606,,"2014-05-29","MAM.ORNL.2014.06","NEON.MAM.D07.0R1105","PESP","Peromyscus sp.","genus",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",20,,,,22,,"unsuccessful","ORNL.20140529.R1105.F","fresh","ORNL.20140529.R1105.E","ORNL.20140529.R1105.H","ORNL.20140529.R1105.H",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,0,0,0,-1,0
