"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"C8BEFC6F31644549BD29F13987E882F7","D01","BART","BART_001","D3","mixedForest",44.04705364,-71.30524748,"WGS84",,525.4944857,,"2014-05-28","MAM.BART.2014.06","NEON.MAM.D01.126316","NAIN","Napaeozapus insignis","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",30,,,,24,"BART.20140528.126316.B","mandibular","BART.20140528.126316.F","old","BART.20140528.126316.E",,,,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","blood collected by subzygomatic method",0,0,0,-1,0
"670806C6CB614E72B1076900EC0A58D5","D01","BART","BART_015","A6","mixedForest",44.04280486,-71.27556516,"WGS84",,448.1133721,,"2014-05-28","MAM.BART.2014.06","NEON.MAM.D01.0R0034","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","N",,,"adult","nonscrotal",,,,21,18,96,,22,,"unsuccessful","BART.20140528.R0034.F","fresh","BART.20140528.R0034.E","BART.20140528.R0034.H","BART.20140528.R0034.H",,"fxHgALBjvjinGx8zsnIY2hG+7ZX+N5gK","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0,0,0,-1,0
"1C52627CEEF947F8B185EDF102D1AF39","D01","BART","BART_015","E2","mixedForest",44.04317466,-71.27508006,"WGS84",,439.7494676,,"2014-05-28","MAM.BART.2014.06","NEON.MAM.D01.0R0320","PEMA","Peromyscus maniculatus","species","cf. species"," ","m","N","N",,,"adult","nonscrotal",,,,19,15,82,,21,,"unsuccessful","BART.20140528.R0320.F","fresh","BART.20140528.R0320.E","BART.20140528.R0320.H","BART.20140528.R0320.H",,"fxHgALBjvjinGx8zsnIY2hG+7ZX+N5gK","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,-1,0,1,-1,0
"D43DF092D158466C87936B968F2F6B31","D01","BART","BART_015","B9","mixedForest",44.04253746,-71.27543011,"WGS84",,451.7657631,,"2014-05-28","MAM.BART.2014.06","NEON.MAM.D01.0R0312","PELE","Peromyscus leucopus","species","cf. species"," ","M","N","N",,,"adult","nonscrotal",,,,21,15,88,,22,,"unsuccessful","BART.20140528.R0312.F","fresh","BART.20140528.R0312.E","BART.20140528.R0312.H","BART.20140528.R0312.H",,"fxHgALBjvjinGx8zsnIY2hG+7ZX+N5gK","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0,1,0,-1,0
"09C86AF2DE83435797FB6CD25DCC2B49","D01","BART","BART_012","F2","deciduousForest",44.04775004,-71.31533726,"WGS84",,620.9684762,,"2014-05-28","MAM.BART.2014.06","NEON.MAM.D01.0R0182","PELE","Peromyscus leucopus","species","cf. species"," ","M","N","N",,,"adult","nonscrotal",,,,22,13,82,,24,,"unsuccessful","BART.20140528.R0182.F","fresh","BART.20140528.R0182.E","BART.20140528.R0182.H","BART.20140528.R0182.H",,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv",,0,0,0,-1,0
"FB67C0F0DD014DE181AFCD241A0D9FFE","D01","BART","BART_012","J4","deciduousForest",44.04758024,-71.31483134,"WGS84",,616.2110336,,"2014-05-28","MAM.BART.2014.06","NEON.MAM.D01.0R0332","TAST","Tamias striatus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",35,,,,82,,,,,"BART.20140528.R0332.E",,,,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv",,0,0,0,-1,0
"1871B98B1B344BEF865AF57911D015AE","D01","BART","BART_007","F5","mixedForest",44.05111417,-71.29825267,"WGS84",,421.3623248,,"2014-05-28","MAM.BART.2014.06","NEON.MAM.D01.0R0306","PELE","Peromyscus leucopus","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","pregnant","swollen",20,16,86,,27,"BART.20140528.R0306.B","mandibular","BART.20140528.R0306.F","fresh","BART.20140528.R0306.E","BART.20140528.R0306.H","BART.20140528.R0306.H",,"fxHgALBjvjinGx8zsnIY2hG+7ZX+N5gK","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","blood collected with subzygomatic method",0,0,0,-1,0
"C42F3102F0494DDE9B3FC3894881B363","D01","BART","BART_007","H9","mixedForest",44.05075935,-71.29798928,"WGS84",,420.3440823,,"2014-05-28","MAM.BART.2014.06","NEON.MAM.D01.O007H9","BLBR","Blarina brevicauda","species",," ","F","N","N","dead",,"adult",,,"not",,,,,,,,,,,,,,"BART.20140528.O007H9.V","fxHgALBjvjinGx8zsnIY2hG+7ZX+N5gK","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0,0,0,-1,0
"76C6ADBEDCE54DCAA4828A99D56B1588","D01","BART","BART_001","J4","mixedForest",44.04697878,-71.30449564,"WGS84",,516.033785,,"2014-05-28","MAM.BART.2014.06","NEON.MAM.D01.0R0136","PELE","Peromyscus leucopus","species","cf. species"," ","M","R","N",,,"adult","scrotal",,,,20,14,89,,21,"BART.20140528.R0136.B","mandibular","BART.20140528.R0136.F","fresh","BART.20140528.R0136.E","BART.20140528.R0136.H","BART.20140528.R0136.H",,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv",,0,1,0,-1,0
"F5131A25FD3E4C279A5A1F4CF5FE8AF5","D01","BART","BART_001","G9","mixedForest",44.04652142,-71.30485236,"WGS84",,522.3520581,,"2014-05-28","MAM.BART.2014.06","NEON.MAM.D01.0R0344","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","not","neither",19,15,85,,26,"BART.20140528.R0344.B","mandibular","BART.20140528.R0344.F","fresh","BART.20140528.R0344.E","BART.20140528.R0344.H","BART.20140528.R0344.H",,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv",,0,0,0,-1,0
