"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"8CF8767A2C564AD9B1C2AF3389E18863","D01","HARV","HARV_023","C9","evergreenForest",42.41265137,-72.22642049,"WGS84",,176.9181552,,"2014-04-29","MAM.HARV.2014.05",,"PEMA","Peromyscus maniculatus","species","cf. species"," ","U","N","N","escaped",,"adult",,,"not",,,,,,,,,,,,,,,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I",,-1,-1,-1,-1,-1
"57CD0238DFFE43DEAE2A27A6F1CBA408","D01","HARV","HARV_023","A2","evergreenForest",42.41328693,-72.22663551,"WGS84",,177.0195405,,"2014-04-29","MAM.HARV.2014.05","NEON.MAM.D01.0R0321","PELE","Peromyscus leucopus","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","not","neither",20,12,75,,23,,"unsuccessful","HARV.20140429.R0321.F","fresh","HARV.20140429.R0321.E","HARV.20140429.R0321.H","HARV.20140429.R0321.H",,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","no blood collected, but animal did bleed from subzygomatic stick",0,0,0,-1,0
"D4301165D33F411486481361C0EF316E","D01","HARV","HARV_023","A7","evergreenForest",42.41283715,-72.22665535,"WGS84",,176.9561569,,"2014-04-29","MAM.HARV.2014.05","NEON.MAM.D01.421677","NAIN","Napaeozapus insignis","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",30,,,,18,"HARV.20140429.421677.B","mandibular","HARV.20140429.421677.F","fresh","HARV.20140429.421677.E",,,,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","Blood was collected by subzygomatic method. Recorder: pnoonan@field-ops.org, handler: cgoranson@neoninc.org",0,0,0,-1,0
"171AB18F346E41ED8625B942DE646A7D","D01","HARV","HARV_023","J7","evergreenForest",42.4128107,-72.22556281,"WGS84",,176.8992396,,"2014-04-29","MAM.HARV.2014.05","NEON.MAM.D01.0L0258","NAIN","Napaeozapus insignis","species",," ","M","N","Y",,,"adult","nonscrotal",,,,30,,,,27,,"unsuccessful",,,,,,,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","attempted mandibular bleed, but no blood was collected. Recorder: cgoranson@neoninc.org, Handler: ehardiman@field-ops.org",0,0,0,-1,0
"0245042582214AFF88D1A5B6D9A77FA0","D01","HARV","HARV_006","J10","deciduousForest",42.40153197,-72.25422367,"WGS84",,177.8477909,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.006J10","BLBR","Blarina brevicauda","species",," ",,"N","N","dead",,,,,"not",,,,,,,,,,,,,,"HARV.20140430.006J10.V","CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,0,0,0,-1,0
"25C2B0786FC243CA822758D3C862A582","D01","HARV","HARV_006","C4","deciduousForest",42.40209208,-72.25504975,"WGS84",,177.5208016,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.421695","MYGA","Myodes gapperi","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",14,,,,26,,,"HARV.20140430.421695.F","old","HARV.20140430.421695.E",,,,"CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70","Recorder: kauger@field-ops.org, handler: pnoonan@field-ops.org",0,0,0,-1,0
"541E3FF29E8149FBB6E875C09F03E954","D01","HARV","HARV_006","I7","deciduousForest",42.40180475,-72.25433327,"WGS84",,177.7921054,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.0R0218","PELE","Peromyscus leucopus","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","not","neither",20,14,82,,29,,,"HARV.20140430.R0218.F","fresh","HARV.20140430.R0218.E","HARV.20140430.R0218.H","HARV.20140430.R0218.H",,"CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,0,0,0,-1,0
"1F9408A2281A4F4E9AA7727DB448AA35","D01","HARV","HARV_023","I10","evergreenForest",42.41254377,-72.2256961,"WGS84",,176.8675335,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.0L0258","NAIN","Napaeozapus insignis","species",," ","M","N","Y",,,"adult","nonscrotal",,,,30,,,,25,,,"HARV.20140430.L0258.F","fresh",,,,,"CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70","Recorder: cgoranson@neoninc.org, handler: ehardiman@field-ops.org",0,0,0,-1,0
"51E32CBC304744B8A07AFEC123417381","D01","HARV","HARV_023","F9","evergreenForest",42.41264255,-72.22605631,"WGS84",,176.8991827,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.0R0303","PELE","Peromyscus leucopus","species","cf. species"," ","M","N","N",,,"adult","nonscrotal",,,,21,14,82,,29,,"unsuccessful","HARV.20140430.R0303.F","fresh","HARV.20140430.R0303.E","HARV.20140430.R0303.H","HARV.20140430.R0303.H",,"CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70","no blood drawn; subzygomatic method attempted",0,0,0,-1,0
"A28E1478D20F40B6B54AC1EFF06FAF4E","D01","HARV","HARV_023","H9","evergreenForest",42.41263667,-72.22581353,"WGS84",,176.8865344,,"2014-04-30","MAM.HARV.2014.05","NEON.MAM.D01.0R0041","PELE","Peromyscus leucopus","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","pregnant","swollen",20,12,90,,36,,"unsuccessful","HARV.20140430.R0041.F","fresh","HARV.20140430.R0041.E","HARV.20140430.R0041.H","HARV.20140430.R0041.H",,"CxQbJXcjrJ0KLWrLIRFS9g0YlaRXiauv","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70","recorder: bchagnon@field-ops.com, handler: kauger@field-ops.org; mouse was in progress of giving birth, subzygomatic stick- animal bled, but no blood collected.",0,0,0,-1,0
