"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"7A77874866144300B189B80DBBFC1F10","D03","OSBS","OSBS_004","I3","evergreenForest",29.68314569,-81.95777463,"WGS84",,39.87652299,,"2014-04-23","MAM.OSBS.2014.05",,,,,," ",,"N",,,,,,,,,,,,,,,,,,,,,,"JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=","4cqeLHiLe4hyy8sn+zfSLIDfctUtW0hJ",,-1,-1,-1,-1,-1
"3448B643F6094512BECA9F701C9315AB","D03","OSBS","OSBS_005","D10","woodyWetlands",29.69469376,-82.02614843,"WGS84",,36.97474759,,"2014-04-23","MAM.OSBS.2014.05",,"GLVO","Glaucomys volans","species",," ","U","N","N",,,"adult",,,"not",,,,,,,,,,,,,,,"Sb8D4VxxoIjNRU2egFuiFmhpZdv5UFvW","SZd6jJU+PWukgvziuyetpzviWNuM2FzT","non target- released without processing",-1,-1,-1,-1,-1
"5253E3644E3347F29DB57C2D541E9414","D03","OSBS","OSBS_012","D4","woodyWetlands",29.72019603,-81.98509806,"WGS84",,32.05418531,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0L2725","SIHI","Sigmodon hispidus","species",," ","M","R","Y",,"Left","adult","scrotal",,,,30,,,,85,,"unsuccessful","OSBS.20140618.L2725.F","fresh",,,,,"v7a5KMTkFH7DgaRo46hfflVQQqwuV2HD","JdN6ZmAx7oWmgJTT7ZCkIiDetk5BQ8MqI0IpeCDHq2o=","blood not collect b/c not bleeding site.  Also, a recapture that needed eartag replaced, no previous tag # available",0,0,0,-1,0
"21B72F5B850249C0BC10AED8345BC3C3","D03","OSBS","OSBS_005","E1","woodyWetlands",29.69550669,-82.02605333,"WGS84",,37.57308929,,"2014-06-19","MAM.OSBS.2014.07","NEON.MAM.D03.0R2735","OCNU","Ochrotomys nuttalli","species",," ","M","N","N",,,"adult","nonscrotal",,,,18,,,,17,,,"OSBS.20140619.R2735.F","fresh","OSBS.20140619.R2735.E",,,,"F0OBrKFXXmbaX1Z1kxjlur7RvhHv7pRm","5DgdPLlMgjaR2O77F10sUDRhg75PRbnT",,0,0,0,-1,0
"7AB0768A34084DFCB93ED3790A583D36","D03","OSBS","OSBS_023","G8","emergentHerbaceousWetlands",29.72327583,-81.98420758,"WGS84",,32,,"2014-06-19","MAM.OSBS.2014.07","NEON.MAM.D03.0L1079","SIHI","Sigmodon hispidus","species",," ","M","R","N","escaped",,"adult","scrotal",,,,32,,,,,,"unsuccessful","OSBS.20140619.L1079.F","old","OSBS.20140619.L1079.E",,,,"JdN6ZmAx7oWmgJTT7ZCkIiDetk5BQ8MqI0IpeCDHq2o=","4L8ym37Asu8N3cU4D/tF0hHqApAg5DIM","Escaped before getting weight; could not get blood - need longer lancet!",0,0,0,-1,0
"F91F9353B4EA4AF79BCFBB6F0E775000","D03","OSBS","OSBS_023","A8","emergentHerbaceousWetlands",29.72327122,-81.98482787,"WGS84",,32,,"2014-06-19","MAM.OSBS.2014.07","NEON.MAM.D03.0L1024","SIHI","Sigmodon hispidus","species",," ","M","R","N",,,"adult","scrotal",,,,32,,,,172,,"unsuccessful","OSBS.20140619.L1024.F","fresh","OSBS.20140619.L1024.E",,,,"JdN6ZmAx7oWmgJTT7ZCkIiDetk5BQ8MqI0IpeCDHq2o=","4L8ym37Asu8N3cU4D/tF0hHqApAg5DIM",,0,0,0,-1,0
"C21CC99766F24B1C8CD19562B5BB968F","D03","OSBS","OSBS_023","A6","emergentHerbaceousWetlands",29.72345169,-81.98482963,"WGS84",,32,,"2014-06-19","MAM.OSBS.2014.07","NEON.MAM.D03.0R1073","SIHI","Sigmodon hispidus","species",," ","M","N","N",,,"juvenile","nonscrotal",,,,32,,,,60,,"unsuccessful",,,"OSBS.20140619.R1073.E",,,,"JdN6ZmAx7oWmgJTT7ZCkIiDetk5BQ8MqI0IpeCDHq2o=","4L8ym37Asu8N3cU4D/tF0hHqApAg5DIM",,0,0,0,-1,0
"A89E46985761417981F8EBAE16F6F6BA","D03","OSBS","OSBS_005","B7","woodyWetlands",29.69496287,-82.02635788,"WGS84",,37.2937991,,"2014-06-19","MAM.OSBS.2014.07",,"GLVO","Glaucomys volans","species",," ",,"N","N","nontarget",,,,,"not",,,,,,,,,,,,,,,"F0OBrKFXXmbaX1Z1kxjlur7RvhHv7pRm","5DgdPLlMgjaR2O77F10sUDRhg75PRbnT","Flying squirrel released",-1,-1,-1,-1,-1
"FE8CB487FB3B4563B1CC844D7494E393","D03","OSBS","OSBS_005","F2","woodyWetlands",29.69541725,-82.02594906,"WGS84",,37.44816082,,"2014-06-20","MAM.OSBS.2014.07","NEON.MAM.D03.0R2735","OCNU","Ochrotomys nuttalli","species",," ","M","N","Y",,,"adult","nonscrotal",,,,17,,,,16,,,"OSBS.20140620.R2735.F","old",,,,,"F0OBrKFXXmbaX1Z1kxjlur7RvhHv7pRm","5DgdPLlMgjaR2O77F10sUDRhg75PRbnT",,0,0,0,-1,0
"9DEA688BB04C4E69BDC8F006E9C46E44","D03","OSBS","OSBS_005","D10","woodyWetlands",29.69469376,-82.02614843,"WGS84",,36.97474759,,"2014-06-20","MAM.OSBS.2014.07",,"GLVO","Glaucomys volans","species",," ",,"N","N","nontarget",,,,,"not",,,,,,,,,,,,,,,"F0OBrKFXXmbaX1Z1kxjlur7RvhHv7pRm","5DgdPLlMgjaR2O77F10sUDRhg75PRbnT",,-1,-1,-1,-1,-1
