"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"757EA604D60B4B40A75CC0630DCF0E76","D08","TALL","TALL_015","F10","deciduousForest",32.916125,-87.436473,"WGS84",,114.599841,,"2014-05-28","MAM.TALL.2014.06","NEON.MAM.D08.0R1120","PEGO","Peromyscus gossypinus","species",," ","M","N","N",,,"adult","nonscrotal",,,,23,13,68,162,23,"TALL.20140528.R1120.B","mandibular","TALL.20140528.R1120.F","fresh","TALL.20140528.R1120.E","TALL.20140528.R1120.H","TALL.20140528.R1120.H",,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0,-1,0
"5F6165DCB7534E1CA3843346D2029254","D08","TALL","TALL_015","A4","deciduousForest",32.916664,-87.43701,"WGS84",,115.229976,,"2014-05-28","MAM.TALL.2014.06","NEON.MAM.D08.0R1121","PELE","Peromyscus leucopus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",21,19,70,150,24,,,"TALL.20140528.R1121.F","fresh","TALL.20140528.R1121.E","TALL.20140528.R1121.H","TALL.20140528.R1121.H",,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0,-1,0
"26EA4CC889604417AD2E85564E8BEC71","D08","TALL","TALL_005","A5","mixedForest",32.896731,-87.399198,"WGS84",,116.433966,,"2014-05-29","MAM.TALL.2014.06","NEON.MAM.D08.0R1175","PELE","Peromyscus leucopus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",21,16,71,152,26,"TALL.20140529.R1175.B","mandibular","TALL.20140529.R1175.F","old","TALL.20140529.R1175.E","TALL.20140529.R1175.H","TALL.20140529.R1175.H",,"uXSN77Q7x9cACyt+x8PEhxXiStDJmpup","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0,0,0,-1,0
"3E69AEB881244F97AA08CAA0E42C0840","D08","TALL","TALL_015","D7","deciduousForest",32.916395,-87.436688,"WGS84",,114.89413,,"2014-05-29","MAM.TALL.2014.06",,"PELE","Peromyscus leucopus","species",," ","U","N","N","escaped",,,,,"not",,,,,,,,,,,,,,,"us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","Escaped, could not collect any data or measurements",-1,-1,-1,-1,-1
"C24D3DC973C249FB9E12F7052DCD327E","D08","TALL","TALL_012","I10","mixedForest",32.917594,-87.396973,"WGS84",,140.393315,,"2014-06-01","MAM.TALL.2014.06","NEON.MAM.D08.0R1060","PELE","Peromyscus leucopus","species",," ","M","N","N",,,"adult","nonscrotal",,,,22,16,71,160,20,"TALL.20140601.R1060.B","mandibular",,,"TALL.20140601.R1060.E","TALL.20140601.R1060.H","TALL.20140601.R1060.H",,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0,-1,0
"D0743658369A4C0080EEDA8B85771B15","D08","TALL","TALL_031","A2","evergreenForest",32.899275,-87.387877,"WGS84",,132.905381,,"2014-06-01","MAM.TALL.2014.06","NEON.MAM.D08.0R1027","PELE","Peromyscus leucopus","species",," ","F","N","N",,,"juvenile",,"nonenlarged","not","neither",16,13,56,129,15,"TALL.20140601.R1027.B","mandibular","TALL.20140601.R1027.F","fresh","TALL.20140601.R1027.E","TALL.20140601.R1027.H","TALL.20140601.R1027.H",,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0,-1,0
"15E43528B171433C8858538B9346C6F9","D08","TALL","TALL_031","J10","evergreenForest",32.898557,-87.386912,"WGS84",,135.11315,,"2014-06-01","MAM.TALL.2014.06","NEON.MAM.D08.0R1098","PELE","Peromyscus leucopus","species",," ","M","R","N",,,"adult","scrotal",,,,20,16,57,125,15,"TALL.20140601.R1098.B","mandibular","TALL.20140601.R1098.F","fresh","TALL.20140601.R1098.E","TALL.20140601.R1098.H","TALL.20140601.R1098.H",,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,-1,0,1,-1,0
"0763789AC78E4BA5847D41FAE431B810","D08","TALL","TALL_031","A10","evergreenForest",32.898554,-87.387874,"WGS84",,134.06632,,"2014-06-01","MAM.TALL.2014.06","NEON.MAM.D08.0R1026","PELE","Peromyscus leucopus","species",," ","F","R","N",,,"adult",,"enlarged","not","plugged",19,16,60,143,16,"TALL.20140601.R1026.B","mandibular","TALL.20140601.R1026.F","fresh","TALL.20140601.R1026.E","TALL.20140601.R1026.H","TALL.20140601.R1026.H",,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,-1,0,1,-1,0
"85CCB7012F3E488AAC55C36D9DD09826","D08","TALL","TALL_024","F2","deciduousForest",32.923555,-87.42019,"WGS84",,125.828558,,"2014-06-01","MAM.TALL.2014.06","NEON.MAM.D08.0R1119","PELE","Peromyscus leucopus","species",," ","M","R","N",,,"adult","scrotal",,,,20,18,71,152,25,"TALL.20140601.R1119.B","mandibular","TALL.20140601.R1119.F","old","TALL.20140601.R1119.E","TALL.20140601.R1119.H","TALL.20140601.R1119.H",,"1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f","uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV",,0,0,0,-1,0
"EA8E3CA92F214B5DA6C90F3DEB17C1BD","D08","TALL","TALL_024","H1","deciduousForest",32.923646,-87.419976,"WGS84",,126.160991,,"2014-06-01","MAM.TALL.2014.06",,"CRPA","Cryptotis parva","species","cf. species"," ",,"N","N","nontarget",,,,,"not",,,,,,,,,,,,,,,"1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f","uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV",,-1,-1,-1,-1,-1
